Title,Author,Publisher,Pub Date,Price,eb_price
핀테크,한석주,커뮤니케이션북스,2015-11-01,11400,8640
핀테크 (IT와 금융이 만나는 새로운 세상),강창호,한빛미디어,2015-06-05,0,12600
핀테크 전쟁 (세계 금융 시장의 거대한 트렌드 | 새로운 돈의 시대가 온다),브렛 킹,예문,2015-06-12,13500,9450
핀테크 4.0 (핀테크 혁명과 금융의 미래),김종현,한국금융연수원,2022-05-24,17100,0
핀테크 혁명 (모바일 은행 설립자가 알려주는 핀테크 시대의 돈 관리 기술),앤 보덴,유엑스리뷰,2020-03-03,20700,0
핀테크와 법 (제3판),"강현구, 유주선 외 1명",씨아이알,2020-11-12,19800,13860
핀테크가 강한 나라 (석학 9인의 금융 플랫폼 미래 통찰),"강형구, 김솔 외 3명",한울아카데미,2024-04-08,35100,0
"내일의 핀테크 (금융대혁명의 시대, 어떻게 살아남을 것인가?)",홍장원,매경출판,2016-02-22,11700,0
핀테크 시대 (기술변화와 함께 다가오는 법과 규제 패러다임의 변화),"고학수, 권남훈 외 3명",박영사,2015-12-05,0,0
핀테크 4.0 (핀테크 혁명과 금융의 미래),김종현,한국금융연수원,2020-08-05,0,0
핀테크와 법 (제2판),강현구,씨아이알,2018-06-22,0,0
핀테크 3.0 (핀테크 혁명과 금융의 미래),김종현,한국금융연수원,2018-05-08,0,0
핀테크와 법,강현구,씨아이알,2017-04-20,0,0
차이나 핀테크 (중국에선 현금이 필요없다),구자근,스리체어스,2018-02-20,10800,0
핀테크 보안경영 (보안사령부를 구축하라),김려성,진한엠앤비,2016-04-20,30600,0
핀테크 인사이트 (돈의 미래를 주도할 핀테크 기술 트렌드와 미래 예측),메가트렌드 랩,율곡출판사,2018-02-08,15300,0
핀테크 에센셜,이근주,도서출판 블록체인,2020-01-18,0,0
핀테크 트렌드 2024 (핀테크 현황과 전망 총망라!),길진세,책세상,2023-12-11,17100,0
핀테크 규제와 실무 (지급결제와 본인인증편),예자선,삼일인포마인,2021-08-24,31500,0
핀테크 세상을 열다 (30편의 카툰으로 만나는 핀테크 이야기),"김동우, 김진영",한빛미디어,2016-01-05,11520,8100
진짜 핀테크 이야기 (한 발 앞서 정복하는),목승환,한즈미디어(한스미디어),2015-09-24,13500,0
"핀테크, 기회를 잡아라 (돈의 흐름을 바꾸는 금융 대혁명)","정유신, 구태언",한국경제신문사,2015-10-28,12600,10080
+F 전략: 공급망관리+핀테크 (불확실성의 시대에 꼭 필요한 리스크 관리 전략),김수욱,처음북스,2018-08-30,13500,9000
"왜 지금 핀테크인가 (송금, 결제에서 인터넷 전문은행까지 손끝에서 이뤄지는 금융 신세계)",현경민,미래의창,2015-08-10,0,0
핀테크 기술용어 사전,"비피기술거래, 비피제이기술거래",비티타임즈,2021-07-19,22500,0
핀테크와 블록체인의 미래 (핀테크는 어떻게 디지털 혁명을 가져왔나),"김선미, 길재식",북오션,2024-08-14,31500,0
웹 3.0 시대 핀테크로 부자되기 (프로토콜 경제의 시작),"이창현, 이용훈",보민출판사,2023-11-08,14400,9900
"핀테크 혁명, 리플이 승자다 (리플, 금융을 통역한다)",황춘일,매경출판,2015-12-20,16000,0
핀테크와 디지털뱅크 (금융의 새로운 패러다임),김인현,투이컨설팅,2015-07-13,0,0
핀테크 금융 서비스 가이드 (은행 혁신과 블록체인 이해),데비 모한,청람,2022-03-10,23750,0
핀테크 산업분야 취업가이드 (네이버｜카카오뱅크｜카카오페이｜KG이니시스｜㈜비바리퍼블리카｜고위드),미래기술정보리서치,비티타임즈,2023-03-27,28800,23400
서울시 핀테크 산업 육성전략,윤형호,서울연구원,2016-08-22,6000,0
핀테크 산업분석보고서 (첨단 IT 기술을 접목한 핀테크 기술은 금융시장을 어떻게 변화시킬 것인가?),비피기술거래,비티타임즈,2017-03-13,0,0
달러스왑 핀테크만으로 800% 수익 난다! (5大 자산시장 순환투자공식),손대식,지식과감성,2024-04-15,32400,26100
서울시 핀테크 허브 역량 진단과 발전 방향,"김묵한, 유인혜",서울연구원,2023-12-22,8000,0
Live 과학 첨단과학 15: 핀테크와 가상화폐,최재훈,윤재홍,2024-04-22,11700,0
디지털 금융시대와 핀테크산업 (부산 금융 중심지의 미래),전광우,세계경제연구원,2019-10-22,18000,0
"스마트워크에서 핀테크까지 (스마트 시대, 스마트 강사와 함께하는)",조대연,에스엔에스소통연구소,2022-02-21,13500,0
핀테크 규제와 실무(2020) (지급결제와 본인증편),예자선,삼일인포마인,2020-05-04,0,0
핀테크에코시스템 혁신을 잡아라,양효은,박영사,2019-11-15,15640,10710
핀테크(Fintech) 3.0 (핀테크 혁명과 금융의 미래),김종현,한국금융연수원,2015-08-31,0,0
핀테크(Fintech) 3.0 (핀테크 혁명과 금융의 미래),김종현,한국금융연수원,2016-09-05,0,0
핀테크에 의한 금융혁신 양상과 시사점 (연구보고서 21-3),이성복,자본시장연구원,2021-02-08,9500,0
핀테크 산업분야 주식투자 가이드,비티타임즈 편집부,비티타임즈,2021-04-26,27000,0
김변이 알려주는 핀테크의 비밀 (알아야 돈이 보인다),김도형,삼일인포마인,2019-07-01,0,0
김변이 알려주는 핀테크의 비밀,김도형,삼일인포마인,2019-01-24,17100,0
4차 산업혁명시대 핀테크 개인정보보호 (핀테크 기업과 이용자를 위한 개인정보보호 핵심 가이드),백남정,지식플랫폼,2019-03-20,13500,9450
핀테크 산업분석보고서(2019) (개정판),"비피기술거래, 비피제이기술거래",비티타임즈,2019-03-25,59400,0
핀테크 산업분석보고서(2018) (개정판),비피기술거래,비티타임즈,2017-11-06,54000,0
중국 핀테크 산업 성장과 규제완화 (정책연구 2016-27),서봉교,한국경제연구원,2017-01-19,0,0
