,title,link,description
0,통합기술수용이론(UTAUT)에 의한 <b>핀테크</b> 결제서비스 사용의도에 관한 연,http://academic.naver.com/article.naver?doc_id=289670734,"A Study on the Use of Fintech Payment Services Based on the UTAUT Model 최근 스마트폰, 사물인터넷 등 새로운 통신기술"
1,<b>핀테크</b> 모바일 간편결제 서비스 활성화 방안,http://academic.naver.com/article.naver?doc_id=290051959,A Study on the Promotion of Mobile Easy Payment Services in the Fintech Era 최근 <b>핀테크</b> 산업에 대한 관심이 나날이 고
2,<b>핀테크</b> : 금융과 정보통신 기술의 융합,http://academic.naver.com/article.naver?doc_id=157529639,FinTech–Conversions of Finance Industry based on ICT 스마트폰을 비롯한 스마트 기기들이 대중화되고 모바일 분
3,국내 <b>핀테크</b> 동향 및 모바일 결제 서비스 분석: 텍스트 마이닝 기법 활용,http://academic.naver.com/article.naver?doc_id=290051995,Fintech Trends and Mobile Payment Service Anlaysis in Korea: Application of Text Mining Techniques 최근 O2O 시장의 급성장과 
4,<b>핀테크</b> 서비스의 확산의도에 영향을 미치는 요인에 관한 연구 : 간편결,http://academic.naver.com/article.naver?doc_id=561636849,A Study on the Factors Affecting the Diffusion Intention of Fin-Tech Services : Focused on Mobile Simple Payment Services 스마트폰
5,<b>핀테크</b> 산업의 발전방향에 관한 연구,http://academic.naver.com/article.naver?doc_id=562350278,"Fintech, Financial Industry, and Policy Implications IT기술과 금융서비스의 결합으로 탄생한 <b>핀테크</b>는 금융산업의"
6,토픽 모델링을 이용한 <b>핀테크</b> 기술 동향 분석,http://academic.naver.com/article.naver?doc_id=288768126,A Study on the Research Trends in Fintech using Topic Modeling 최근 인터넷과 모바일 환경을 기반으로 금융과 IT가 융
7,<b>핀테크</b> 지급결제서비스 지속사용 영향요인 연구 : 무리행동이론과 제도,http://academic.naver.com/article.naver?doc_id=291019368,What makes people keep using Fintech payment service? : In the perspective of herding behavior theory and trust <b>핀테크</b> 서비스는 
8,<b>핀테크</b> 지급결제시스템의 비즈니스모델 탐색,http://academic.naver.com/article.naver?doc_id=177269196,Investigation of Business Model on Fintech Payment System IT기술이 금융산업과 융합되면서 <b>핀테크</b>가 급속하게 확산
9,<b>핀테크</b>가 국제무역거래에 미치는 영향,http://academic.naver.com/article.naver?doc_id=561753438,The Impact of FinTech on Transactions in International Trade 본 연구의 목적은 4차산업혁명의 혁신 기술로 지목되고 
0,금융거래에서 <b>핀테크</b> 수용에 관한 연령대별 비교 및 관련변수의 탐색,http://academic.naver.com/article.naver?doc_id=561886298,Exploring Factors Related to FinTech Acceptance in Financial Transaction 본 연구에서는 최근 활발하게 발전되고 있는 
1,유럽연합에서의 <b>핀테크</b> 산업과 법의 적용,http://academic.naver.com/article.naver?doc_id=235927922,The Application of Fin-tech industry and Law in European Union : 지급결제지침 개정이 <b>핀테크</b> 사업에 미치는 영향을 
2,<b>핀테크</b>의 동향과 과제 : 개인정보 보호 문제를 중심으로,http://academic.naver.com/article.naver?doc_id=185833522, 최근 <b>핀테크</b>에 대한 관심이 커지고 있으며 정부도 <b>핀테크</b> 발전에 걸림돌이 되는 금융규제를 완화하
3,<b>핀테크</b> 산업 현황 진단과 <b>핀테크</b> 기업 사례 연구,http://academic.naver.com/article.naver?doc_id=638388384,Fin-tech Industry Current Status Diagnosis and Fin-tech Enterprise Case Studies 본 연구는 혁신성장을 위한 8대 선도사업
4,<b>핀테크</b>(fintech) 사용자와 시스템 특성이 지각된 인식과 지속사용의도에 ,http://academic.naver.com/article.naver?doc_id=561572202,The Effects of Characteristics of User and System on the Perceived Cognition and the Continuous Use Intention of Fintech 본 연구는 
5,디지털 경제와 <b>핀테크</b> - 소비자 보호를 중심으로 -,http://academic.naver.com/article.naver?doc_id=597570321,Digital Economy and FinTech in the view of Consumer Protection <b>핀테크</b>는 디지털경제와 결합되어 이전의 아날로그경
6,국내 <b>핀테크</b> 산업의 현황과 규제 및 지속가능성에 대한 논고,http://academic.naver.com/article.naver?doc_id=585771780,Korea's FinTech Industry: Current Status and Suggestions for Sustainable Development 금융시장에 혁신을 가져온 <b>핀테크</b>(FinT
7,<b>핀테크</b> 활성화를 위한 규제 샌드박스의 도입 방안 연구,http://academic.naver.com/article.naver?doc_id=561816611,Legal Research on FinTech Regulatory Sandbox Fostering Financial Innovations in Korea <b>핀테크</b> 장벽 중 가장 두터운 것은 규
8,"<b>핀테크</b>(FinTech) 산업 활성화를 위한 법적, 제도적, 기술적 요인에 관한 연",http://academic.naver.com/article.naver?doc_id=561542677,"A Study on the Legal, Institutional, and Technical Factors for Activation of Domestic FinTech Industry: Focusing on the Consensus Delph"
9,빅데이터 기반의 <b>핀테크</b>서비스 모델의 변화 방향에 관한 연구,http://academic.naver.com/article.naver?doc_id=562505794,A Study on the Changing Direction of FinTech Service Model based on Big Data 4차 산업혁명시대에 ICT의 발전과 스마트 모
