,title,originallink,link,description,pubDate
0,[EWC 2024] 배틀그라운드 월드컵 대표팀 확정…'T1·다나와·광동',https://www.kfenews.co.kr/news/articleView.html?idxno=624092,https://www.kfenews.co.kr/news/articleView.html?idxno=624092,"리그 오브 레전드에 출전한 팀(T1)도 우승했기 때문에, 저희도 가능할 것 같기 때문에, <b>대상혁</b>을 숭배한다면 저희도 우승할 수 있을 것 같습니다&quot;라고 각오를 밝혔다. 사우디아라비아의 수도 리야드에서 진행하는 본선은... ","Mon, 15 Jul 2024 22:06:00 +0900"
1,[EWC KR] T1 이엔드 &quot;<b>대상혁</b> 숭배하고 배그팀도 우승하겠다&quot;,https://www.apnews.kr/news/articleView.html?idxno=3021891,https://www.apnews.kr/news/articleView.html?idxno=3021891,"이어 구체적인 목표와 관련해 &quot;최소한 8위 이내는 들 것 같다&quot;며, &quot;롤(LOL, 리그 오브 레전드)팀이 이미 우승한 만큼, 펍지 팀 또한 '<b>대상혁</b>(페이커 별명)'을 숭배하고 우승하도록 하겠다&quot;고 역설했다. 마지막으로 이엔드는... ","Mon, 15 Jul 2024 03:42:00 +0900"
2,"[LPL] '2부리그' 최강, 아직 BLG",https://www.mhnse.com/news/articleView.html?idxno=301496,https://m.sports.naver.com/esports/article/445/0000216868,6월간 아지르를 단 한 번 활용했던 TES의 미드라이너 크렘은 3세트 내내 '<b>대상혁</b>'의 아지르를 활용하기도 했다. 챔피언 폭(코르키-트리스타나 제외 사용불가)에 대한 피드백으로 볼 수 있었다. 지난 2023년... ,"Sat, 13 Jul 2024 11:00:00 +0900"
3,<b>대상혁</b> '롤드컵'에 이어 '사우디컵'까지 정복,https://www.mhns.co.kr/news/articleView.html?idxno=613776,https://www.mhns.co.kr/news/articleView.html?idxno=613776,<b>대상혁</b> 롤드컵에 이어 사우디컵까지 정복 / 사진=T1 제공 T1이 사우디 'EWC(Esports World Cup)'초대 챔피언... <b>대상혁</b> 롤드컵에 이어 사우디컵까지 정복 / 사진=afreecaTV EWC 채널 제공 EWC 결승 1세트에서 TES는 레넥톤... ,"Wed, 10 Jul 2024 01:14:00 +0900"
4,&quot;또 <b>대상혁</b>이야&quot;...EWC서 MVP받은 페이커가 오늘 쓴 소름돋는 '최초' 기록,https://www.insight.co.kr/news/473095,https://www.insight.co.kr/news/473095,"T1, 한화 약 5억 5000만 원의 우승 상금 획득리그오브레전드(LoL)의 살아있는 역사 '페이커'가 e스포츠 월드컵(EWC) 결승전 MVP를 차지하며 이제껏 그 누구도 쓰지 못한 역사를 썼다. 8일(한국 시간) 사우디아라비아... ","Mon, 08 Jul 2024 14:10:00 +0900"
5,"&quot;역시 <b>대상혁</b>&quot;…T1, 사우디 EWC LoL 초대 챔피언 등극 [e스포츠 월드컵 줌인]",https://www.hankyung.com/article/202407088741i,https://m.sports.naver.com/esports/article/015/0005006976,"“모든 길은 나로 통한다” e스포츠의 아이콘 ‘페이커’ 이상혁(28, T1)이 자신이 뱉은 말을 또 한 번 증명해냈다. 사우디아라비아 수도 리야드에서 열린 e스포츠 월드컵(이하 EWC)에 국내 리그오브레전드(LoL) 프로... ","Mon, 08 Jul 2024 11:27:00 +0900"
6,"[롤짤] <b>대상혁</b>, 또 당신입니까?",https://www.gamemeca.com/mv.php?inflow=naver_s&gid=1750761,https://m.sports.naver.com/esports/article/356/0000067832,RedHorN이 매주 월요일 올리는 [롤짤]은 리그 오브 레전드 e스포츠에서 일어난 일을 한 컷에 담는 코너입니다. RedHorN 작가는 네이버에서 LCK 요약툰을 연재했습니다. T1이 사우디에서 열린 e스포츠 월드컵에서... ,"Mon, 08 Jul 2024 10:51:00 +0900"
7,"“군 휴가 마지막 날인데 왔어요”…T1, LCK 첫 홈경기 [가봤더니]",http://www.kukinews.com/newsView/kuk202406290011,http://www.kukinews.com/newsView/kuk202406290011,한 팬은 ‘페이커’ 이상혁 포토존에서 “<b>대상혁</b>”을 외치며 ‘기습 숭배’까지 했다. 29일 T1 홈그라운드가 열리는 고양 소노 아레나. 사진=김영건 기자 “T1 파이팅”을 데시벨에 맞춰 지르는 콘텐츠에도 팬들이... ,"Sat, 29 Jun 2024 11:54:00 +0900"
8,&quot;또 <b>대상혁</b>이야&quot;... 파리 올림픽 홍보 촬영한 '페이커',https://www.gameple.co.kr/news/articleView.html?idxno=209965,https://www.gameple.co.kr/news/articleView.html?idxno=209965,T1의 '페이커' 이상혁 선수가 2024 파리 올림픽을 맞아 국제올림픽위원회(IOC) 코리아의 홍보물에 등장했다. 오늘 28일 국제올림픽위원회의 한국어 공식 X(트위터) 계정이 2024 파리 올림픽을 주제로 짧은 영상을 선보였다.... ,"Fri, 28 Jun 2024 16:02:00 +0900"
9,[LCK] &quot;프로라면 어떤 상황에서도 좋은 경기력 보여야&quot; 페이커의 팬 페이커가...,https://www.fomos.kr/redirect/news_view?news_cate_id=39&entry_id=133775,https://m.sports.naver.com/esports/article/236/0000243316,"이어 페이커는 &quot;나도 페이커님을 정말 좋아하기에 현장에서 <b>대상혁</b>을 외치고 왔다&quot;고 말했다. 작년 서머 페이커를 괴롭혔던 팔 부상에 관해 &quot;완치된 것은 아니다. 계속 관리를 하고 있고, 내가 계속 안고 가면서 길게 봐야... ","Fri, 21 Jun 2024 12:10:00 +0900"
